epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,5234.86,1.11624,0.46306,0.72408,0.93911,0.60589,0.78539,0.49443,1.12491,0.78312,0.72538,0.005842,0.005842,0.005842
107,5281.46,1.13425,0.46902,0.73291,0.93555,0.60305,0.77712,0.48454,1.14588,0.76947,0.72472,0.0058024,0.0058024,0.0058024
108,5330.5,1.10209,0.47165,0.73,0.94334,0.59682,0.76988,0.47604,1.15271,0.78661,0.72505,0.0057628,0.0057628,0.0057628
109,5375.92,1.09841,0.46771,0.72731,0.94049,0.60028,0.78219,0.49042,1.14809,0.80573,0.72424,0.0057232,0.0057232,0.0057232
110,5422.73,1.09548,0.4569,0.73097,0.94739,0.59601,0.77207,0.48096,1.17345,0.81517,0.72477,0.0056836,0.0056836,0.0056836
111,5469.68,1.09801,0.45715,0.72881,0.94659,0.59288,0.7742,0.54174,1.00478,0.71442,0.72494,0.005644,0.005644,0.005644
112,5516.14,1.06916,0.44942,0.72898,0.947,0.59716,0.77274,0.50261,1.11516,0.77941,0.72431,0.0056044,0.0056044,0.0056044
113,5563.22,1.07772,0.44545,0.72659,0.94431,0.59301,0.76635,0.49118,1.14949,0.80031,0.72466,0.0055648,0.0055648,0.0055648
114,5608.6,1.10647,0.46906,0.72586,0.95084,0.59845,0.78859,0.49743,1.1352,0.80483,0.72534,0.0055252,0.0055252,0.0055252
115,5656.09,1.07764,0.46922,0.73404,0.94975,0.59816,0.77274,0.5058,1.09528,0.76176,0.72469,0.0054856,0.0054856,0.0054856
116,5705.65,1.0684,0.44779,0.72873,0.94321,0.59793,0.77456,0.49968,1.10963,0.79536,0.72434,0.005446,0.005446,0.005446
117,5754.83,1.07335,0.44366,0.72519,0.93934,0.59402,0.76156,0.47735,1.15668,0.80909,0.72504,0.0054064,0.0054064,0.0054064
118,5806.07,1.08325,0.4619,0.72943,0.94514,0.59601,0.76858,0.52882,1.01724,0.73901,0.72426,0.0053668,0.0053668,0.0053668
119,5854.8,1.07487,0.45569,0.73465,0.95366,0.60044,0.79579,0.49591,1.16188,0.8185,0.72466,0.0053272,0.0053272,0.0053272
120,5903.01,1.06683,0.46117,0.72229,0.94661,0.59493,0.76975,0.53631,1.00842,0.7059,0.72418,0.0052876,0.0052876,0.0052876
121,5950.41,1.03492,0.44608,0.72742,0.95237,0.59399,0.76442,0.52454,1.0358,0.75158,0.72412,0.005248,0.005248,0.005248
122,5996.92,1.04773,0.44801,0.73031,0.94895,0.59465,0.76738,0.49822,1.11869,0.78658,0.72422,0.0052084,0.0052084,0.0052084
